geneNames	GSM44908	GSM44909	GSM44910	GSM44911	GSM44912	GSM44913	GSM44938	GSM44939	GSM44940	GSM44941	GSM44942	GSM44943	GSM44944
ABO	1030.583487	871.5289185	1124.742559	1212.273762	911.4095213	816.4567835	313.5068569	280.1819377	468.9822816	283.047286	344.0873433	308.6788878	285.8142088
ABR	785.646227	643.6628658	683.6602692	735.456363	602.8367229	776.6504296	608.9670809	665.9826382	775.2286072	695.3636394	659.7420845	806.2348996	630.6365497
ABTB2	150.0604906	130.7688717	118.0161058	223.2132981	41.64964028	46.73321424	109.6514148	133.3340908	187.4879178	75.31735697	92.69412172	110.3970254	193.3927051
AC007389.3	302.4086381	180.2472346	46.39387049	259.9456531	177.273657	63.70210064	64.4780147	18.01996137	160.3648694	103.8517391	70.82463173	100.409594	86.78037626
AC012065.7	161.3789596	75.24427809	100.3909331	80.72179769	111.0879732	36.01673323	18.10556586	15.84152682	78.82053488	84.55053854	22.4218026	38.07411966	64.90288625
AC090627.1	45.05637617	55.90135236	52.59841394	46.70909772	48.24383353	31.99200944	10.62684835	18.30097993	22.0911944	24.59708921	38.84712991	7.450351772	34.46461188
ACAA1	382.45733985	513.9439266	414.7142074	349.39545765	252.65683815	494.2928267	629.3850218	660.59976625	658.0679316	592.95332435	539.0266294	545.32138655	671.20827795
ACAA2	751.4253169	611.4662477	777.1266142	432.5041035	526.307025	434.9416042	973.6406035	986.495375	683.9499332	873.0320667	551.0017787	834.8998022	725.5299127
ACACA	294.4783494	174.4328372	170.4990964	243.2467005	255.0111403	163.2742105	111.0736867	131.8516666	111.0969235	110.6555326	129.2022315	102.114909	138.8297661
ACACB	172.057795976333	198.35729872	157.36083482	136.17244968	210.35137505	106.559714816667	88.19578715	92.1115815063333	83.45944366	87.4819999066667	89.0703950203333	69.221212045	75.3567324233333
ACADL	64.95156576	22.56901714	42.69535688	18.06817939	24.33947852	42.8035298	2.651629634	13.20384497	5.488106308	7.19039125	38.45975815	5.777158125	6.634645711
ACADM	1881.866794	1625.539852	1773.668393	960.7117191	1224.162859	1798.398395	1021.439064	1461.131628	1132.635571	1130.529408	889.3866977	1037.871374	1039.525211
ACADS	124.3989495	84.03196639	177.4550179	82.15337806	37.03917637	87.55534382	63.7543578	70.44580181	77.34177629	116.9495152	70.7311341	87.40844811	67.53318923
ACADSB	460.7800938	296.8707436	307.6538322	264.6669028	252.8373822	356.1784833	157.8272881	351.8064909	204.3366549	198.1464244	278.9904579	165.1383745	267.321007
ACADVL	644.2065021	1180.241524	648.9033863	744.9589678	915.9186459	1146.786706	1953.315946	2184.699331	1525.799635	1222.104296	1622.632207	1687.609503	2044.614453
ACAN	31.0766976566667	14.92719611	128.55754372	880.3382781	284.750318833333	453.253663066667	10.167294633	58.2052666366667	217.15157765	112.616194123333	304.474010666667	15.7314727063333	61.9596137366667
ACAP1	37.97354193	50.86393302	58.4778826	74.18002741	52.76808532	55.82322872	29.92873538	67.22052792	81.17547441	66.54123031	32.7025518	32.42399737	65.48802898
